"Name","Company","State","City","Salary","Location","Url"
"Software Developer for the 5G future"," Ericsson-Worldwide  We're Hiring","Sweden","Linköping","","Linköping","https://www.glassdoor.com/partner/jobListing.htm?pos=201&ao=333324&s=58&guid=00000165674f40838e6aeaea90c50e49&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_974cf8e7&cb=1535036571961&jobListingId=2887986285"
"Software Engineer"," GE Healthcare  ","Sweden","Uppsala","","Uppsala","https://www.glassdoor.com/partner/jobListing.htm?pos=202&ao=133822&s=58&guid=00000165674f40838e6aeaea90c50e49&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7a0964fb&cb=1535036571962&jobListingId=2901137903"
"Experienced Software Test Developer"," Ericsson-Worldwide  We're Hiring","Sweden","Linköping","","Linköping","https://www.glassdoor.com/partner/jobListing.htm?pos=203&ao=333324&s=58&guid=00000165674f40838e6aeaea90c50e49&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_dcfcc176&cb=1535036571963&jobListingId=2906125887"
"Data Center Engineer, Plan & Build"," Facebook  We're Hiring","Sweden","Luleå","","Luleå","https://www.glassdoor.com/partner/jobListing.htm?pos=204&ao=282723&s=58&guid=00000165674f40838e6aeaea90c50e49&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ad1a7f23&cb=1535036571964&jobListingId=2612164795"
"Software Developer"," Zenuity AB  Hot","Sweden","Gothenburg","","Gothenburg","https://www.glassdoor.com/partner/jobListing.htm?pos=205&ao=124245&s=58&guid=00000165674f40838e6aeaea90c50e49&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5b57e39d&cb=1535036571965&jobListingId=2725332262"
"Software Engineer"," Cerner  Hot","Sweden","Gothenburg","","Gothenburg","https://www.glassdoor.com/partner/jobListing.htm?pos=206&ao=4465&s=58&guid=00000165674f40838e6aeaea90c50e49&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a5f05901&cb=1535036571966&jobListingId=2761660220"
"Software Engineer"," Fortive  ","Sweden","Billdal","","Billdal","https://www.glassdoor.com/partner/jobListing.htm?pos=207&ao=321738&s=58&guid=00000165674f40838e6aeaea90c50e49&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d10252cc&cb=1535036571966&jobListingId=2893867074"
"Software Developer"," EngineersOnly  New","Sweden","Malmö","","Malmö","https://www.glassdoor.com/partner/jobListing.htm?pos=208&ao=124245&s=58&guid=00000165674f40838e6aeaea90c50e49&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ab24da3f&cb=1535036571967&jobListingId=2722963126"
"Sr Systems Engineer"," Extreme Networks  We're Hiring","Sweden","Kista","","Kista","https://www.glassdoor.com/partner/jobListing.htm?pos=209&ao=317778&s=58&guid=00000165674f40838e6aeaea90c50e49&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_293f7988&cb=1535036571968&jobListingId=2908413627"
"Software Engineer"," Greenbyte  ","Sweden","Gothenburg","","Gothenburg","https://www.glassdoor.com/partner/jobListing.htm?pos=210&ao=124245&s=58&guid=00000165674f40838e6aeaea90c50e49&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_4a7f650e&cb=1535036571969&jobListingId=2725316915"
"Software Engineer"," Dfind IT  ","Sweden","Gothenburg","","Gothenburg","https://www.glassdoor.com/partner/jobListing.htm?pos=211&ao=124245&s=58&guid=00000165674f40838e6aeaea90c50e49&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_cc982bfb&cb=1535036571970&jobListingId=2752131094"
"Automotive System Software Engineer"," NVIDIA  We're Hiring","Sweden","Sweden","","Sweden","https://www.glassdoor.com/partner/jobListing.htm?pos=212&ao=284597&s=58&guid=00000165674f40838e6aeaea90c50e49&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7e45fd95&cb=1535036571971&jobListingId=2673489445"
